RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.8C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/425 VDD_4V0_WIFI 0/0 VDD_IN 2070/1851 VDD_SYS_CPU 229/201 VDD_SYS_DDR 515/422
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/426 VDD_4V0_WIFI 0/0 VDD_IN 2070/1857 VDD_SYS_CPU 229/202 VDD_SYS_DDR 515/424
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28.25C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/429 VDD_4V0_WIFI 0/0 VDD_IN 2070/1862 VDD_SYS_CPU 229/202 VDD_SYS_DDR 515/427
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/431 VDD_4V0_WIFI 0/0 VDD_IN 2031/1866 VDD_SYS_CPU 229/203 VDD_SYS_DDR 515/429
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,14%@345,0%@345,28%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/434 VDD_4V0_WIFI 0/0 VDD_IN 2070/1871 VDD_SYS_CPU 229/204 VDD_SYS_DDR 515/431
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C MCPU@30C PMIC@100C Tboard@27C GPU@29.5C BCPU@30C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/436 VDD_4V0_WIFI 0/0 VDD_IN 2070/1876 VDD_SYS_CPU 229/204 VDD_SYS_DDR 515/433
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/438 VDD_4V0_WIFI 0/0 VDD_IN 2031/1879 VDD_SYS_CPU 229/205 VDD_SYS_DDR 496/434
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/441 VDD_4V0_WIFI 0/0 VDD_IN 2031/1883 VDD_SYS_CPU 229/205 VDD_SYS_DDR 496/436
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/443 VDD_4V0_WIFI 0/0 VDD_IN 2031/1886 VDD_SYS_CPU 229/206 VDD_SYS_DDR 496/437
RAM 1439/7852MB (lfb 1350x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@29.8C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/445 VDD_4V0_WIFI 0/0 VDD_IN 2031/1889 VDD_SYS_CPU 229/206 VDD_SYS_DDR 496/438
