RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/159 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2562 VDD_SYS_CPU 153/205 VDD_SYS_DDR 821/826
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.1C Tdiode@31.5C VDD_SYS_GPU 153/159 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2529/2561 VDD_SYS_CPU 153/204 VDD_SYS_DDR 821/826
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [33%@345,off,off,16%@345,33%@345,33%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@33C BCPU@33.5C thermal@33.1C Tdiode@32.5C VDD_SYS_GPU 383/166 VDD_SYS_SOC 690/690 VDD_4V0_WIFI 0/0 VDD_IN 2835/2569 VDD_SYS_CPU 229/205 VDD_SYS_DDR 840/826
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@33.5C BCPU@33.5C thermal@33.1C Tdiode@32.5C VDD_SYS_GPU 689/180 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3103/2584 VDD_SYS_CPU 229/205 VDD_SYS_DDR 840/827
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@34C BCPU@33.5C thermal@33.7C Tdiode@32.5C VDD_SYS_GPU 919/200 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3333/2604 VDD_SYS_CPU 153/204 VDD_SYS_DDR 840/827
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@34C BCPU@33.5C thermal@33.7C Tdiode@32.5C VDD_SYS_GPU 1072/223 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3525/2628 VDD_SYS_CPU 153/203 VDD_SYS_DDR 840/828
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@34C BCPU@34C thermal@33.7C Tdiode@32.5C VDD_SYS_GPU 1302/251 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3717/2656 VDD_SYS_CPU 153/201 VDD_SYS_DDR 840/828
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@34C BCPU@33.5C thermal@33.7C Tdiode@33C VDD_SYS_GPU 1455/281 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3868/2686 VDD_SYS_CPU 153/200 VDD_SYS_DDR 840/828
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@34C BCPU@33.5C thermal@33.7C Tdiode@33C VDD_SYS_GPU 1532/311 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3983/2718 VDD_SYS_CPU 153/199 VDD_SYS_DDR 840/828
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@34C BCPU@33.5C thermal@33.7C Tdiode@33C VDD_SYS_GPU 1685/344 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 4098/2751 VDD_SYS_CPU 229/200 VDD_SYS_DDR 840/829
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@34C BCPU@33.5C thermal@33.7C Tdiode@33C VDD_SYS_GPU 1685/375 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 4175/2784 VDD_SYS_CPU 153/198 VDD_SYS_DDR 840/829
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@33.5C BCPU@33.5C thermal@33.7C Tdiode@32.75C VDD_SYS_GPU 1685/405 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 4136/2815 VDD_SYS_CPU 153/197 VDD_SYS_DDR 840/829
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@33C BCPU@34C thermal@33.7C Tdiode@32.75C VDD_SYS_GPU 1608/432 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 4021/2841 VDD_SYS_CPU 153/196 VDD_SYS_DDR 840/829
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [20%@345,off,off,16%@345,20%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 11% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@33C BCPU@34C thermal@33.7C Tdiode@32.75C VDD_SYS_GPU 1455/454 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3907/2865 VDD_SYS_CPU 229/197 VDD_SYS_DDR 859/830
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@34C MCPU@34C PMIC@100C Tboard@30C GPU@32.5C BCPU@34C thermal@33.7C Tdiode@32.75C VDD_SYS_GPU 1302/472 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3715/2883 VDD_SYS_CPU 229/198 VDD_SYS_DDR 859/831
RAM 1474/7852MB (lfb 1332x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@33.5C MCPU@33.5C PMIC@100C Tboard@30C GPU@32.5C BCPU@33.5C thermal@33.7C Tdiode@31.75C VDD_SYS_GPU 1149/486 VDD_SYS_SOC 689/689 VDD_4V0_WIFI 0/0 VDD_IN 3563/2897 VDD_SYS_CPU 229/198 VDD_SYS_DDR 840/831
