RAM 1435/7852MB (lfb 1351x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@2035,off,off,100%@2035,100%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/416 VDD_4V0_WIFI 0/51 VDD_IN 2414/1968 VDD_SYS_CPU 459/246 VDD_SYS_DDR 630/430
RAM 1419/7852MB (lfb 1353x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@2035,off,off,75%@2035,80%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@31C MCPU@31C PMIC@100C Tboard@27C GPU@29C BCPU@31C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/419 VDD_4V0_WIFI 0/50 VDD_IN 2605/1983 VDD_SYS_CPU 536/253 VDD_SYS_DDR 668/435
RAM 1419/7852MB (lfb 1353x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@1574,off,off,28%@1574,0%@1574,0%@1574] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29.5C BCPU@30.5C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/422 VDD_4V0_WIFI 0/49 VDD_IN 2605/1998 VDD_SYS_CPU 536/259 VDD_SYS_DDR 687/441
RAM 1419/7852MB (lfb 1353x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@652,off,off,0%@652,0%@652,0%@652] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/424 VDD_4V0_WIFI 0/48 VDD_IN 2490/2009 VDD_SYS_CPU 459/264 VDD_SYS_DDR 649/446
RAM 1419/7852MB (lfb 1353x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 536/427 VDD_4V0_WIFI 0/46 VDD_IN 2414/2018 VDD_SYS_CPU 459/268 VDD_SYS_DDR 611/450
RAM 1419/7852MB (lfb 1353x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/428 VDD_4V0_WIFI 0/45 VDD_IN 2299/2024 VDD_SYS_CPU 383/271 VDD_SYS_DDR 592/453
RAM 1419/7852MB (lfb 1353x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/428 VDD_4V0_WIFI 0/44 VDD_IN 2222/2028 VDD_SYS_CPU 383/273 VDD_SYS_DDR 554/455
RAM 1419/7852MB (lfb 1353x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@2035,off,off,0%@2035,0%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/429 VDD_4V0_WIFI 0/44 VDD_IN 2184/2031 VDD_SYS_CPU 383/275 VDD_SYS_DDR 534/457
RAM 1419/7852MB (lfb 1353x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,0%@345,16%@345,14%@345] EMC_FREQ 0% GR3D_FREQ 7% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/430 VDD_4V0_WIFI 0/43 VDD_IN 2146/2034 VDD_SYS_CPU 306/276 VDD_SYS_DDR 515/458
RAM 1419/7852MB (lfb 1353x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@30.5C MCPU@30.5C PMIC@100C Tboard@27C GPU@29C BCPU@30.5C thermal@30.2C Tdiode@28C VDD_SYS_GPU 153/153 VDD_SYS_SOC 460/430 VDD_4V0_WIFI 0/42 VDD_IN 2070/2034 VDD_SYS_CPU 306/277 VDD_SYS_DDR 515/459
