RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [33%@806,off,off,16%@806,40%@806,0%@806] EMC_FREQ 0% GR3D_FREQ 8% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31.5C BCPU@32C thermal@31.6C Tdiode@30.25C VDD_SYS_GPU 766/223 VDD_SYS_SOC 689/627 VDD_4V0_WIFI 362/172 VDD_IN 3602/2813 VDD_SYS_CPU 229/193 VDD_SYS_DDR 859/827
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,14%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30.25C VDD_SYS_GPU 689/235 VDD_SYS_SOC 689/628 VDD_4V0_WIFI 362/177 VDD_IN 3525/2831 VDD_SYS_CPU 229/193 VDD_SYS_DDR 859/827
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [28%@345,off,off,28%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30.25C VDD_SYS_GPU 613/244 VDD_SYS_SOC 689/630 VDD_4V0_WIFI 362/182 VDD_IN 3448/2846 VDD_SYS_CPU 229/194 VDD_SYS_DDR 840/828
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [100%@2035,off,off,40%@2035,33%@2035,20%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.6C Tdiode@30.25C VDD_SYS_GPU 536/251 VDD_SYS_SOC 689/631 VDD_4V0_WIFI 324/185 VDD_IN 3448/2861 VDD_SYS_CPU 306/197 VDD_SYS_DDR 840/828
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@1113,off,off,0%@1113,0%@1113,33%@1113] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.6C Tdiode@30.25C VDD_SYS_GPU 536/258 VDD_SYS_SOC 689/632 VDD_4V0_WIFI 286/187 VDD_IN 3410/2874 VDD_SYS_CPU 383/201 VDD_SYS_DDR 840/828
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@499,off,off,0%@499,0%@499,0%@499] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@30.5C BCPU@32.5C thermal@31.6C Tdiode@30C VDD_SYS_GPU 459/263 VDD_SYS_SOC 689/634 VDD_4V0_WIFI 248/189 VDD_IN 3295/2884 VDD_SYS_CPU 306/204 VDD_SYS_DDR 840/828
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 459/267 VDD_SYS_SOC 689/635 VDD_4V0_WIFI 229/190 VDD_IN 3180/2891 VDD_SYS_CPU 306/206 VDD_SYS_DDR 840/829
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@30.5C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 383/270 VDD_SYS_SOC 689/636 VDD_4V0_WIFI 191/190 VDD_IN 3103/2895 VDD_SYS_CPU 306/208 VDD_SYS_DDR 840/829
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 383/272 VDD_SYS_SOC 689/637 VDD_4V0_WIFI 171/189 VDD_IN 3027/2898 VDD_SYS_CPU 306/210 VDD_SYS_DDR 840/829
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,14%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 306/273 VDD_SYS_SOC 690/638 VDD_4V0_WIFI 152/188 VDD_IN 2950/2899 VDD_SYS_CPU 229/211 VDD_SYS_DDR 840/829
RAM 1471/7852MB (lfb 1341x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@2035,off,off,80%@2035,0%@2035,60%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 306/274 VDD_SYS_SOC 690/640 VDD_4V0_WIFI 133/187 VDD_IN 2988/2901 VDD_SYS_CPU 306/213 VDD_SYS_DDR 859/830
RAM 1459/7852MB (lfb 1340x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@2035,off,off,100%@2035,16%@2035,50%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 306/274 VDD_SYS_SOC 689/641 VDD_4V0_WIFI 114/186 VDD_IN 3065/2904 VDD_SYS_CPU 383/216 VDD_SYS_DDR 878/831
RAM 1469/7852MB (lfb 1340x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@2035,off,off,100%@2035,100%@2035,0%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 306/275 VDD_SYS_SOC 689/641 VDD_4V0_WIFI 95/184 VDD_IN 3142/2909 VDD_SYS_CPU 459/221 VDD_SYS_DDR 897/832
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@2035,off,off,83%@2035,100%@2035,16%@2035] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 229/274 VDD_SYS_SOC 689/642 VDD_4V0_WIFI 95/182 VDD_IN 3218/2915 VDD_SYS_CPU 536/227 VDD_SYS_DDR 916/834
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@1420,off,off,0%@1420,0%@1420,33%@1420] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 229/273 VDD_SYS_SOC 689/643 VDD_4V0_WIFI 76/180 VDD_IN 3180/2920 VDD_SYS_CPU 536/233 VDD_SYS_DDR 916/835
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32.5C MCPU@32.5C PMIC@100C Tboard@28C GPU@31C BCPU@32.5C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 229/272 VDD_SYS_SOC 689/644 VDD_4V0_WIFI 76/178 VDD_IN 3103/2924 VDD_SYS_CPU 459/237 VDD_SYS_DDR 897/837
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 229/272 VDD_SYS_SOC 689/645 VDD_4V0_WIFI 57/176 VDD_IN 3027/2926 VDD_SYS_CPU 459/242 VDD_SYS_DDR 878/837
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [25%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@29.75C VDD_SYS_GPU 229/271 VDD_SYS_SOC 690/646 VDD_4V0_WIFI 57/174 VDD_IN 2950/2926 VDD_SYS_CPU 383/244 VDD_SYS_DDR 878/838
RAM 1455/7852MB (lfb 1344x4MB) SWAP 0/3926MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@32C MCPU@32C PMIC@100C Tboard@28C GPU@31C BCPU@32C thermal@31.6C Tdiode@30C VDD_SYS_GPU 229/270 VDD_SYS_SOC 690/647 VDD_4V0_WIFI 38/171 VDD_IN 2912/2926 VDD_SYS_CPU 383/247 VDD_SYS_DDR 859/838
