RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 1% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/867 CPU 621/685 SOC 2329/2060 CV 0/0 VDDRQ 310/237 SYS5V 2250/2126
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/869 CPU 621/683 SOC 2329/2067 CV 0/0 VDDRQ 155/234 SYS5V 2250/2129
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48.5C thermal@47.25C Tboard@47C GPU 931/870 CPU 621/681 SOC 2329/2075 CV 0/0 VDDRQ 310/236 SYS5V 2250/2132
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/872 CPU 621/679 SOC 2329/2082 CV 0/0 VDDRQ 310/238 SYS5V 2250/2136
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/873 CPU 621/678 SOC 2329/2088 CV 0/0 VDDRQ 155/236 SYS5V 2250/2139
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/875 CPU 621/676 SOC 2329/2094 CV 0/0 VDDRQ 155/234 SYS5V 2250/2141
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/876 CPU 621/675 SOC 2329/2100 CV 0/0 VDDRQ 155/232 SYS5V 2250/2144
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/878 CPU 621/674 SOC 2329/2106 CV 0/0 VDDRQ 310/234 SYS5V 2250/2147
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/879 CPU 621/672 SOC 2329/2111 CV 0/0 VDDRQ 310/236 SYS5V 2250/2149
RAM 1426/15815MB (lfb 3406x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@45.5C GPU@47.5C Tdiode@48.75C PMIC@100C AUX@46.5C CPU@48C thermal@47.25C Tboard@47C GPU 931/880 CPU 621/671 SOC 2329/2116 CV 0/0 VDDRQ 155/234 SYS5V 2250/2152
