RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/315 CPU 622/626 SOC 777/848 CV 0/0 VDDRQ 155/155 SYS5V 1647/1664
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@45.25C Tboard@45C GPU 311/315 CPU 466/621 SOC 777/846 CV 0/0 VDDRQ 155/155 SYS5V 1647/1664
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/314 CPU 622/621 SOC 777/845 CV 0/0 VDDRQ 155/155 SYS5V 1647/1663
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,25%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/314 CPU 466/618 SOC 777/843 CV 0/0 VDDRQ 155/155 SYS5V 1647/1663
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/314 CPU 466/614 SOC 777/841 CV 0/0 VDDRQ 155/155 SYS5V 1647/1662
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@45.25C Tboard@45C GPU 311/314 CPU 622/614 SOC 777/840 CV 0/0 VDDRQ 155/155 SYS5V 1647/1662
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 311/314 CPU 466/611 SOC 777/838 CV 0/0 VDDRQ 155/155 SYS5V 1647/1662
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@44C GPU@45.5C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 311/314 CPU 466/607 SOC 777/837 CV 0/0 VDDRQ 155/155 SYS5V 1647/1661
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 311/314 CPU 466/604 SOC 777/835 CV 0/0 VDDRQ 155/155 SYS5V 1647/1661
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@45.5C thermal@44.95C Tboard@45C GPU 311/314 CPU 466/601 SOC 777/834 CV 0/0 VDDRQ 155/155 SYS5V 1647/1661
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.75C PMIC@100C AUX@44.5C CPU@46C thermal@44.95C Tboard@45C GPU 311/314 CPU 466/598 SOC 777/833 CV 0/0 VDDRQ 155/155 SYS5V 1647/1660
