RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@47.5C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 1242/953 CPU 621/621 SOC 2329/2329 CV 0/0 VDDRQ 310/264 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48C Tdiode@48C PMIC@100C AUX@46C CPU@47.5C thermal@46.4C Tboard@46C GPU 2018/984 CPU 621/621 SOC 2328/2328 CV 0/0 VDDRQ 310/265 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 2483/1025 CPU 621/621 SOC 2328/2328 CV 0/0 VDDRQ 310/266 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 3104/1082 CPU 620/620 SOC 2328/2328 CV 0/0 VDDRQ 310/268 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 3412/1143 CPU 620/620 SOC 2328/2328 CV 0/0 VDDRQ 310/269 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48C PMIC@100C AUX@45.5C CPU@47C thermal@46.4C Tboard@46C GPU 3723/1209 CPU 620/620 SOC 2327/2328 CV 0/0 VDDRQ 310/270 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 4188/1284 CPU 620/620 SOC 2327/2328 CV 0/0 VDDRQ 310/271 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48.25C PMIC@100C AUX@46C CPU@47.5C thermal@46.4C Tboard@46C GPU 4497/1362 CPU 620/620 SOC 2327/2328 CV 0/0 VDDRQ 310/272 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 4652/1440 CPU 620/620 SOC 2326/2328 CV 0/0 VDDRQ 310/273 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 4807/1519 CPU 620/620 SOC 2326/2328 CV 0/0 VDDRQ 310/273 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 4962/1597 CPU 620/620 SOC 2326/2328 CV 0/0 VDDRQ 310/274 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@49C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 5270/1678 CPU 620/620 SOC 2326/2328 CV 0/0 VDDRQ 310/275 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@49C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 5425/1760 CPU 620/620 SOC 2326/2328 CV 0/0 VDDRQ 310/276 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@46.4C Tboard@46C GPU 5425/1838 CPU 620/620 SOC 2326/2328 CV 0/0 VDDRQ 310/277 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@47C Tboard@46C GPU 5580/1916 CPU 620/620 SOC 2325/2328 CV 0/0 VDDRQ 310/277 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45C GPU@48.5C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@47C Tboard@46C GPU 5580/1991 CPU 620/620 SOC 2325/2328 CV 0/0 VDDRQ 310/278 SYS5V 2250/2250
RAM 1485/15815MB (lfb 3373x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@45.5C GPU@49C Tdiode@48.25C PMIC@100C AUX@45.5C CPU@47.5C thermal@47C Tboard@46C GPU 5735/2065 CPU 620/620 SOC 2325/2328 CV 0/0 VDDRQ 310/279 SYS5V 2250/2250
