RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45.25C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 4803/1675 CPU 620/630 SOC 2324/2327 CV 0/0 VDDRQ 309/309 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45.25C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 4803/1741 CPU 620/630 SOC 2324/2327 CV 0/0 VDDRQ 309/309 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,37%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.55C Tboard@43C GPU 4958/1808 CPU 619/630 SOC 2324/2327 CV 0/0 VDDRQ 309/309 SYS5V 2451/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 5113/1876 CPU 619/630 SOC 2324/2327 CV 0/0 VDDRQ 309/309 SYS5V 2447/2450
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.55C Tboard@43C GPU 5113/1941 CPU 619/629 SOC 2324/2327 CV 0/0 VDDRQ 309/309 SYS5V 2447/2450
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 5268/2006 CPU 619/629 SOC 2324/2327 CV 0/0 VDDRQ 309/309 SYS5V 2447/2450
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42C CPU@44C thermal@43.55C Tboard@43C GPU 5268/2069 CPU 619/629 SOC 2324/2326 CV 0/0 VDDRQ 309/309 SYS5V 2447/2450
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.55C Tboard@43C GPU 5268/2129 CPU 619/629 SOC 2324/2326 CV 0/0 VDDRQ 309/309 SYS5V 2447/2450
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44C thermal@43.55C Tboard@43C GPU 5268/2187 CPU 619/629 SOC 2324/2326 CV 0/0 VDDRQ 309/309 SYS5V 2447/2450
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,33%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.7C Tboard@43C GPU 5420/2246 CPU 619/628 SOC 2324/2326 CV 0/0 VDDRQ 309/309 SYS5V 2487/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45.25C PMIC@100C AUX@42.5C CPU@44C thermal@43.7C Tboard@43C GPU 5420/2303 CPU 619/628 SOC 2324/2326 CV 0/0 VDDRQ 309/309 SYS5V 2487/2451
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45.25C PMIC@100C AUX@42.5C CPU@44C thermal@43.7C Tboard@43C GPU 5420/2357 CPU 619/628 SOC 2324/2326 CV 0/0 VDDRQ 309/309 SYS5V 2487/2452
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45C Tdiode@45.25C PMIC@100C AUX@42.5C CPU@44C thermal@43.7C Tboard@43C GPU 5420/2410 CPU 619/628 SOC 2324/2326 CV 0/0 VDDRQ 309/309 SYS5V 2487/2453
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@42C GPU@45.5C Tdiode@45.25C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.7C Tboard@43C GPU 5420/2461 CPU 619/628 SOC 2324/2326 CV 0/0 VDDRQ 309/309 SYS5V 2487/2453
RAM 2384/15815MB (lfb 3078x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@42C GPU@45.5C Tdiode@45C PMIC@100C AUX@42.5C CPU@44.5C thermal@43.7C Tboard@43C GPU 5420/2510 CPU 619/628 SOC 2324/2326 CV 0/0 VDDRQ 309/309 SYS5V 2487/2454
