RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 97%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37C BCPU@37.5C thermal@37.1C Tdiode@36.5C VDD_SYS_GPU 919/199 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/63 VDD_IN 3333/2681 VDD_SYS_CPU 229/245 VDD_SYS_DDR 725/711
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [44%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 99%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37.5C BCPU@37.5C thermal@37.1C Tdiode@36.5C VDD_SYS_GPU 1149/227 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/61 VDD_IN 3563/2707 VDD_SYS_CPU 229/244 VDD_SYS_DDR 725/711
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 99%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37.5C BCPU@37.5C thermal@37.1C Tdiode@37C VDD_SYS_GPU 1302/258 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/59 VDD_IN 3755/2737 VDD_SYS_CPU 229/244 VDD_SYS_DDR 725/711
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,12%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 99%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@37.1C Tdiode@37C VDD_SYS_GPU 1532/293 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/58 VDD_IN 3946/2770 VDD_SYS_CPU 229/243 VDD_SYS_DDR 725/712
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 99%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@38C BCPU@37.5C thermal@37.1C Tdiode@37C VDD_SYS_GPU 1608/328 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/56 VDD_IN 4061/2805 VDD_SYS_CPU 229/243 VDD_SYS_DDR 725/712
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,14%@345,0%@345,14%@345] EMC_FREQ 0%@1600 GR3D_FREQ 44%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37C BCPU@37.5C thermal@37.1C Tdiode@37C VDD_SYS_GPU 1532/360 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/55 VDD_IN 3946/2835 VDD_SYS_CPU 229/243 VDD_SYS_DDR 725/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [14%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@37C BCPU@37.5C thermal@37.1C Tdiode@36.25C VDD_SYS_GPU 1302/384 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/53 VDD_IN 3717/2858 VDD_SYS_CPU 229/242 VDD_SYS_DDR 725/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,12%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36.25C VDD_SYS_GPU 1149/403 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/52 VDD_IN 3525/2875 VDD_SYS_CPU 229/242 VDD_SYS_DDR 725/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36.25C VDD_SYS_GPU 996/418 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/51 VDD_IN 3372/2887 VDD_SYS_CPU 229/242 VDD_SYS_DDR 725/713
RAM 1255/7860MB (lfb 1353x4MB) SWAP 0/3930MB (cached 0MB) CPU [25%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0%@1600 GR3D_FREQ 0%@1122 APE 150 PLL@37.5C MCPU@37.5C PMIC@100C Tboard@34C GPU@36.5C BCPU@37.5C thermal@37.1C Tdiode@36.25C VDD_SYS_GPU 843/428 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/49 VDD_IN 3257/2896 VDD_SYS_CPU 229/241 VDD_SYS_DDR 725/714
