RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 1% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/848 CPU 465/639 SOC 2174/2009 CV 0/0 VDDRQ 155/168 SYS5V 2250/2111
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/851 CPU 465/634 SOC 2174/2014 CV 0/0 VDDRQ 310/172 SYS5V 2250/2115
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/853 CPU 465/629 SOC 2174/2019 CV 0/0 VDDRQ 310/176 SYS5V 2250/2119
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@45C thermal@43.9C Tboard@44C GPU 931/855 CPU 465/625 SOC 2174/2023 CV 0/0 VDDRQ 155/175 SYS5V 2250/2123
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42.5C GPU@44.5C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/857 CPU 465/620 SOC 2174/2027 CV 0/0 VDDRQ 155/175 SYS5V 2250/2126
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/859 CPU 465/616 SOC 2174/2030 CV 0/0 VDDRQ 310/178 SYS5V 2250/2129
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/861 CPU 465/613 SOC 2174/2034 CV 0/0 VDDRQ 310/182 SYS5V 2250/2132
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44C Tdiode@45.5C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/862 CPU 465/609 SOC 2174/2037 CV 0/0 VDDRQ 310/185 SYS5V 2250/2135
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/864 CPU 465/605 SOC 2174/2041 CV 0/0 VDDRQ 155/184 SYS5V 2250/2138
RAM 1408/15815MB (lfb 3410x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@42C GPU@44.5C Tdiode@45.25C PMIC@100C AUX@43C CPU@44.5C thermal@43.9C Tboard@44C GPU 931/866 CPU 465/602 SOC 2174/2044 CV 0/0 VDDRQ 155/183 SYS5V 2250/2140
