RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44.5C CPU@48.5C thermal@44.95C Tboard@45C GPU 309/309 CPU 6042/1329 SOC 1704/1027 CV 0/0 VDDRQ 309/178 SYS5V 2250/1917
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44.5C CPU@49C thermal@44.95C Tboard@45C GPU 309/309 CPU 6507/1458 SOC 1859/1047 CV 0/0 VDDRQ 309/182 SYS5V 2250/1925
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,80%@2265,80%@2265,83%@2265,100%@2265,83%@2265,100%@2265,80%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44.5C CPU@49C thermal@44.95C Tboard@45C GPU 309/309 CPU 6969/1593 SOC 1858/1067 CV 0/0 VDDRQ 309/185 SYS5V 2290/1934
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.25C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 7279/1728 SOC 2013/1090 CV 0/0 VDDRQ 309/188 SYS5V 2331/1944
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.25C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 7740/1868 SOC 2012/1111 CV 0/0 VDDRQ 309/190 SYS5V 2331/1953
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 8050/2008 SOC 2012/1132 CV 0/0 VDDRQ 309/193 SYS5V 2367/1962
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [83%@2265,66%@2265,85%@2265,83%@2265,100%@2265,80%@2265,100%@2265,83%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 8205/2146 SOC 2167/1155 CV 0/0 VDDRQ 309/196 SYS5V 2367/1971
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 8356/2281 SOC 2166/1177 CV 0/0 VDDRQ 309/198 SYS5V 2367/1980
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 8666/2417 SOC 2166/1198 CV 0/0 VDDRQ 309/200 SYS5V 2367/1988
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [85%@2265,100%@2265,85%@2265,85%@2265,100%@2265,80%@2265,100%@2265,83%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@45C CPU@49.5C thermal@46C Tboard@45C GPU 309/309 CPU 8820/2550 SOC 2166/1218 CV 0/0 VDDRQ 309/203 SYS5V 2407/1997
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,85%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 8820/2678 SOC 2166/1237 CV 0/0 VDDRQ 309/205 SYS5V 2407/2005
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45.5C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 9126/2807 SOC 2165/1256 CV 0/0 VDDRQ 309/207 SYS5V 2407/2013
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 13% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@45C CPU@49.5C thermal@46C Tboard@45C GPU 309/309 CPU 9126/2931 SOC 2165/1274 CV 0/0 VDDRQ 309/209 SYS5V 2407/2021
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [83%@2265,66%@2265,100%@2265,80%@2265,66%@2265,100%@2265,80%@2265,66%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45C Tdiode@46.5C PMIC@100C AUX@45C CPU@49.5C thermal@46C Tboard@45C GPU 309/309 CPU 9126/3050 SOC 2320/1294 CV 0/0 VDDRQ 309/211 SYS5V 2407/2028
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [83%@2265,83%@2265,71%@2265,66%@2265,83%@2265,100%@2265,83%@2265,80%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 8971/3162 SOC 2320/1313 CV 0/0 VDDRQ 309/213 SYS5V 2447/2036
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45.5C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@49.5C thermal@46C Tboard@45C GPU 309/309 CPU 9126/3272 SOC 2320/1332 CV 0/0 VDDRQ 309/214 SYS5V 2447/2044
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@45C CPU@49.5C thermal@46C Tboard@45C GPU 309/309 CPU 9281/3381 SOC 2320/1350 CV 0/0 VDDRQ 309/216 SYS5V 2447/2051
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [83%@2265,83%@2265,100%@2265,100%@2265,100%@2265,100%@2265,85%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43.5C GPU@45.5C Tdiode@46.5C PMIC@100C AUX@45C CPU@49.5C thermal@46C Tboard@45C GPU 309/309 CPU 9435/3490 SOC 2320/1367 CV 0/0 VDDRQ 309/218 SYS5V 2447/2058
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@44.5C CPU@49C thermal@46C Tboard@45C GPU 309/309 CPU 9435/3594 SOC 2320/1384 CV 0/0 VDDRQ 309/219 SYS5V 2447/2065
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@45C CPU@49.5C thermal@46C Tboard@45C GPU 309/309 CPU 9435/3695 SOC 2320/1400 CV 0/0 VDDRQ 309/221 SYS5V 2447/2071
RAM 2207/15815MB (lfb 3144x4MB) SWAP 0/7907MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@45C CPU@49.5C thermal@46C Tboard@45C GPU 309/309 CPU 9590/3794 SOC 2320/1415 CV 0/0 VDDRQ 309/222 SYS5V 2447/2078
RAM 2207/15815MB (lfb 3142x4MB) SWAP 0/7907MB (cached 0MB) CPU [80%@2265,100%@2265,83%@2265,66%@2265,100%@2265,66%@2265,80%@2265,66%@2265] EMC_FREQ 0% GR3D_FREQ 0% AO@43C GPU@45C Tdiode@46.5C PMIC@100C AUX@45C CPU@49.5C thermal@46C Tboard@45C GPU 309/309 CPU 9590/3891 SOC 2320/1430 CV 0/0 VDDRQ 309/224 SYS5V 2447/2084
