RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@2188,33%@2188,28%@2188,28%@2188,16%@2188,28%@2188,33%@2188,33%@2188] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@43C thermal@41.7C Tboard@41C GPU 310/310 CPU 1863/1155 SOC 1242/1182 CV 0/0 VDDRQ 310/310 SYS5V 1969/2003
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42.5C thermal@41.7C Tboard@41C GPU 310/310 CPU 1709/1171 SOC 1087/1180 CV 0/0 VDDRQ 310/310 SYS5V 1969/2002
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,16%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 3% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 1553/1181 SOC 1087/1177 CV 0/0 VDDRQ 310/310 SYS5V 1969/2001
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 1398/1187 SOC 1087/1175 CV 0/0 VDDRQ 310/310 SYS5V 1929/1999
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 1243/1189 SOC 1087/1172 CV 0/0 VDDRQ 310/310 SYS5V 1929/1997
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 1243/1190 SOC 1087/1170 CV 0/0 VDDRQ 310/310 SYS5V 1929/1995
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 1087/1187 SOC 932/1164 CV 0/0 VDDRQ 310/310 SYS5V 1929/1994
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@43C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 1087/1185 SOC 932/1158 CV 0/0 VDDRQ 310/310 SYS5V 1929/1992
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1958,0%@1958,28%@1958,0%@1958,0%@1958,0%@1958,0%@1958,0%@1958] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 1087/1183 SOC 932/1153 CV 0/0 VDDRQ 310/310 SYS5V 1929/1991
RAM 2398/15815MB (lfb 2904x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.75C PMIC@100C AUX@40.5C CPU@42C thermal@41.7C Tboard@41C GPU 310/310 CPU 932/1177 SOC 932/1148 CV 0/0 VDDRQ 310/310 SYS5V 1929/1989
