RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4807/4700 CPU 465/505 SOC 2171/2171 CV 0/0 VDDRQ 155/240 SYS5V 2210/2215
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1344] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4807/4703 CPU 465/504 SOC 2171/2171 CV 0/0 VDDRQ 155/238 SYS5V 2210/2215
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1267,0%@1494] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 2% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.15C Tboard@33C GPU 4807/4706 CPU 465/503 SOC 2171/2171 CV 0/0 VDDRQ 155/236 SYS5V 2250/2216
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 2% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.35C Tboard@33C GPU 4652/4704 CPU 465/502 SOC 2171/2171 CV 0/0 VDDRQ 310/238 SYS5V 2250/2216
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.35C Tboard@33C GPU 4652/4703 CPU 465/501 SOC 2171/2171 CV 0/0 VDDRQ 155/236 SYS5V 2250/2217
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1416] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 5% AO@32.5C GPU@36C Tdiode@35.75C PMIC@100C AUX@33C CPU@34.5C thermal@34.35C Tboard@33C GPU 4652/4702 CPU 465/501 SOC 2171/2171 CV 0/0 VDDRQ 310/237 SYS5V 2250/2218
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.35C Tboard@34C GPU 4652/4701 CPU 465/500 SOC 2171/2171 CV 0/0 VDDRQ 310/239 SYS5V 2250/2219
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 0% AO@33C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.35C Tboard@34C GPU 4652/4700 CPU 465/499 SOC 2171/2171 CV 0/0 VDDRQ 310/241 SYS5V 2250/2219
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,12%@1190,0%@1190,0%@1342,0%@1266] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 2% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.35C Tboard@34C GPU 4652/4699 CPU 465/498 SOC 2171/2171 CV 0/0 VDDRQ 310/242 SYS5V 2210/2219
RAM 1490/15815MB (lfb 3395x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1266] EMC_FREQ 0%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 1% AO@32.5C GPU@36C Tdiode@35.5C PMIC@100C AUX@33C CPU@34.5C thermal@34.35C Tboard@34C GPU 4652/4698 CPU 465/497 SOC 2171/2171 CV 0/0 VDDRQ 310/244 SYS5V 2210/2219
