RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 229/155 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/63 VDD_IN 2568/2606 VDD_SYS_CPU 229/249 VDD_SYS_DDR 706/708
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 229/157 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/61 VDD_IN 2645/2607 VDD_SYS_CPU 229/248 VDD_SYS_DDR 706/708
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 98% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@40C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 306/161 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/60 VDD_IN 2721/2610 VDD_SYS_CPU 229/248 VDD_SYS_DDR 706/708
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 99% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 383/167 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/58 VDD_IN 2760/2614 VDD_SYS_CPU 229/247 VDD_SYS_DDR 725/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,16%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@40C BCPU@40.5C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 383/172 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/57 VDD_IN 2760/2617 VDD_SYS_CPU 229/247 VDD_SYS_DDR 725/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 383/177 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/55 VDD_IN 2721/2620 VDD_SYS_CPU 229/246 VDD_SYS_DDR 725/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 306/181 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/54 VDD_IN 2721/2622 VDD_SYS_CPU 229/246 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 306/183 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/53 VDD_IN 2683/2624 VDD_SYS_CPU 229/245 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,16%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.5C VDD_SYS_GPU 306/186 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/51 VDD_IN 2645/2624 VDD_SYS_CPU 229/245 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 229/187 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/50 VDD_IN 2645/2625 VDD_SYS_CPU 229/245 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 230/188 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/49 VDD_IN 2606/2624 VDD_SYS_CPU 229/244 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 230/189 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/48 VDD_IN 2606/2624 VDD_SYS_CPU 229/244 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@41C MCPU@41C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39.25C VDD_SYS_GPU 230/190 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/47 VDD_IN 2606/2624 VDD_SYS_CPU 229/244 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39C VDD_SYS_GPU 230/191 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/46 VDD_IN 2568/2622 VDD_SYS_CPU 229/243 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39C VDD_SYS_GPU 230/192 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/45 VDD_IN 2568/2621 VDD_SYS_CPU 229/243 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [28%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.4C Tdiode@39C VDD_SYS_GPU 230/192 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/44 VDD_IN 2568/2620 VDD_SYS_CPU 229/243 VDD_SYS_DDR 706/709
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39C VDD_SYS_GPU 153/192 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/43 VDD_IN 2530/2618 VDD_SYS_CPU 229/242 VDD_SYS_DDR 706/708
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/191 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/42 VDD_IN 2530/2617 VDD_SYS_CPU 229/242 VDD_SYS_DDR 706/708
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [16%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/190 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/42 VDD_IN 2530/2615 VDD_SYS_CPU 229/242 VDD_SYS_DDR 706/708
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/189 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/41 VDD_IN 2530/2614 VDD_SYS_CPU 229/242 VDD_SYS_DDR 706/708
RAM 1235/7860MB (lfb 1345x4MB) SWAP 0/3930MB (cached 0MB) CPU [0%@345,off,off,0%@345,0%@345,0%@345] EMC_FREQ 0% GR3D_FREQ 0% PLL@40.5C MCPU@40.5C PMIC@100C Tboard@37C GPU@39.5C BCPU@40.5C thermal@40.1C Tdiode@39.25C VDD_SYS_GPU 153/189 VDD_SYS_SOC 613/613 VDD_4V0_WIFI 0/40 VDD_IN 2530/2612 VDD_SYS_CPU 230/241 VDD_SYS_DDR 706/708
