Frequency: Avg: 3952.6, Core 0: 3953.1, Core 1: 3982.6, Core 2: 3964.4, Core 3: 3910.1, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 23.1, Core 0: 25.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 13.7, core,0: 11.5, uncore,0: 0, dram,0: 0.4, psys,0: 19.2, 
Frequency: Avg: 3975.7, Core 0: 3996.6, Core 1: 3994.6, Core 2: 3974.6, Core 3: 3937.1, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 28.6, Core 0: 80.0, Core 1: 0.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 12.7, core,0: 11.0, uncore,0: 0, dram,0: 0.4, psys,0: 19.9, 
Frequency: Avg: 3969.7, Core 0: 3991.9, Core 1: 3993.7, Core 2: 3941.6, Core 3: 3951.7, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 28.6, Core 0: 20.0, Core 1: 100.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 18.1, core,0: 10.7, uncore,0: 0, dram,0: 0.5, psys,0: 25.0, 
Frequency: Avg: 3953.4, Core 0: 3917.0, Core 1: 3973.4, Core 2: 3928.6, Core 3: 3994.6, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.0, core,0: 10.9, uncore,0: 0, dram,0: 0.3, psys,0: 17.3, 
Frequency: Avg: 3968.9, Core 0: 3948.4, Core 1: 3948.1, Core 2: 3994.1, Core 3: 3985.2, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 28.6, Core 0: 0.0, Core 1: 0.0, Core 2: 100.0, Core 3: 20.0, Power: package-0,0: 18.4, core,0: 11.4, uncore,0: 1.5, dram,0: 0.3, psys,0: 17.4, 
Frequency: Avg: 3960.8, Core 0: 3907.1, Core 1: 3984.2, Core 2: 3998.4, Core 3: 3953.6, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 20.0, Core 2: 100.0, Core 3: 0.0, Power: package-0,0: 16.4, core,0: 11.0, uncore,0: 0, dram,0: 0.3, psys,0: 18.1, 
Frequency: Avg: 3991.1, Core 0: 3997.2, Core 1: 3986.9, Core 2: 3982.3, Core 3: 3997.9, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 21.4, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 100.0, Power: package-0,0: 11.0, core,0: 10.4, uncore,0: 0, dram,0: 0.3, psys,0: 17.0, 
Frequency: Avg: 3975.1, Core 0: 3967.0, Core 1: 3992.4, Core 2: 3981.6, Core 3: 3959.3, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 26.7, Core 0: 0.0, Core 1: 80.0, Core 2: 0.0, Core 3: 0.0, Power: package-0,0: 17.9, core,0: 10.9, uncore,0: 0, dram,0: 0.4, psys,0: 24.5, 
Frequency: Avg: 3976.5, Core 0: 3996.9, Core 1: 3985.4, Core 2: 3928.2, Core 3: 3995.4, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 23.1, Core 0: 0.0, Core 1: 0.0, Core 2: 0.0, Core 3: 75.0, Power: package-0,0: 16.4, core,0: 10.9, uncore,0: 0, dram,0: 0.3, psys,0: 16.9, 
Frequency: Avg: 3881.8, Core 0: 3880.9, Core 1: 3881.6, Core 2: 3882.1, Core 3: 3882.7, Temp: PackageId0,0: 85.0, Core0,0: 85.0, Core1,0: 69.0, PackageId0,1: 85.0, Core0,1: 85.0, Core1,1: 69.0, Iwlwifi,0: 57.0, Pch_Skylake,0: 68.5, Util: Avg: 100.0, Core 0: 100.0, Core 1: 100.0, Core 2: 100.0, Core 3: 83.3, Power: package-0,0: 24.0, core,0: 23.2, uncore,0: 0, dram,0: 0.4, psys,0: 31.7, 
