RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,16%@1497,0%@1497] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.55C Tboard@42C GPU 4030/3510 CPU 620/638 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3525 CPU 620/637 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,28%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.55C Tboard@42C GPU 4030/3539 CPU 620/637 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [28%@1344,16%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344,0%@1344] EMC_FREQ 0% GR3D_FREQ 98% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.55C Tboard@42C GPU 4030/3552 CPU 620/636 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@41C GPU@43.5C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3565 CPU 620/636 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1267,0%@1267,0%@1267,0%@1267,14%@1267,0%@1267,0%@1267,0%@1267] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3577 CPU 620/635 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3588 CPU 620/635 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3599 CPU 620/635 SOC 2325/2325 CV 0/0 VDDRQ 310/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1728,0%@1728,0%@1728,14%@1728,0%@1728,0%@1728,0%@1728,28%@1728] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44C PMIC@100C AUX@41.5C CPU@43.5C thermal@42.7C Tboard@42C GPU 4030/3609 CPU 620/634 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
RAM 2036/15815MB (lfb 3228x4MB) SWAP 0/7907MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@40.5C GPU@44C Tdiode@44.25C PMIC@100C AUX@41.5C CPU@43C thermal@42.7C Tboard@42C GPU 4030/3619 CPU 620/634 SOC 2325/2325 CV 0/0 VDDRQ 309/309 SYS5V 2290/2290
