RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 1242/940 CPU 465/501 SOC 2174/2174 CV 0/0 VDDRQ 310/241 SYS5V 2250/2228
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@42.5C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41C thermal@40.75C Tboard@41C GPU 1863/966 CPU 465/500 SOC 2173/2173 CV 0/0 VDDRQ 310/243 SYS5V 2250/2229
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@42.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 2483/1008 CPU 465/499 SOC 2173/2173 CV 0/0 VDDRQ 310/245 SYS5V 2250/2230
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@42.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 2948/1061 CPU 465/498 SOC 2172/2173 CV 0/0 VDDRQ 310/247 SYS5V 2250/2230
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 3412/1122 CPU 465/498 SOC 2172/2173 CV 0/0 VDDRQ 310/248 SYS5V 2250/2231
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39.5C GPU@42.5C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 3412/1181 CPU 465/497 SOC 2172/2173 CV 0/0 VDDRQ 310/250 SYS5V 2250/2231
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@42C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 3259/1233 CPU 465/496 SOC 2172/2173 CV 0/0 VDDRQ 155/248 SYS5V 2250/2232
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 2948/1275 CPU 465/495 SOC 2172/2173 CV 0/0 VDDRQ 310/249 SYS5V 2250/2232
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.75C Tboard@41C GPU 2638/1307 CPU 465/494 SOC 2172/2173 CV 0/0 VDDRQ 310/250 SYS5V 2250/2232
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.9C Tboard@41C GPU 2483/1335 CPU 465/494 SOC 2173/2173 CV 0/0 VDDRQ 310/252 SYS5V 2250/2233
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 2173/1354 CPU 465/493 SOC 2173/2173 CV 0/0 VDDRQ 155/250 SYS5V 2250/2233
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.9C Tboard@41C GPU 2018/1368 CPU 465/492 SOC 2173/2173 CV 0/0 VDDRQ 310/251 SYS5V 2250/2234
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1863/1379 CPU 465/492 SOC 2173/2173 CV 0/0 VDDRQ 155/249 SYS5V 2250/2234
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1707/1386 CPU 465/491 SOC 2173/2173 CV 0/0 VDDRQ 310/250 SYS5V 2250/2234
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1707/1393 CPU 465/491 SOC 2173/2173 CV 0/0 VDDRQ 155/248 SYS5V 2250/2235
RAM 1435/15815MB (lfb 3403x4MB) SWAP 0/7907MB (cached 0MB) CPU [14%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 0% AO@39.5C GPU@41.5C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@40.9C Tboard@41C GPU 1552/1396 CPU 465/490 SOC 2174/2173 CV 0/0 VDDRQ 310/249 SYS5V 2250/2235
