RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 44% AO@39C GPU@41.5C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 1087/935 CPU 621/574 SOC 2174/2174 CV 0/0 VDDRQ 310/250 SYS5V 2250/2227
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190,14%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@39C GPU@42C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41C thermal@40.55C Tboard@41C GPU 1397/948 CPU 621/576 SOC 2173/2173 CV 0/0 VDDRQ 310/252 SYS5V 2250/2228
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.55C Tboard@41C GPU 1863/974 CPU 621/577 SOC 2173/2173 CV 0/0 VDDRQ 310/254 SYS5V 2250/2228
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 2173/1006 CPU 621/578 SOC 2173/2173 CV 0/0 VDDRQ 310/255 SYS5V 2250/2229
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 2328/1041 CPU 621/579 SOC 2172/2173 CV 0/0 VDDRQ 310/256 SYS5V 2250/2230
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@39C GPU@42C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 2638/1082 CPU 620/580 SOC 2172/2173 CV 0/0 VDDRQ 310/258 SYS5V 2250/2230
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [16%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.85C Tboard@41C GPU 2793/1125 CPU 465/577 SOC 2172/2173 CV 0/0 VDDRQ 310/259 SYS5V 2250/2231
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,16%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@39C GPU@42C Tdiode@42.25C PMIC@100C AUX@40C CPU@41.5C thermal@40.85C Tboard@41C GPU 2948/1169 CPU 465/575 SOC 2172/2173 CV 0/0 VDDRQ 310/260 SYS5V 2250/2231
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 99% AO@39C GPU@42.5C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 3102/1215 CPU 465/572 SOC 2172/2173 CV 0/0 VDDRQ 310/262 SYS5V 2250/2231
RAM 1475/15815MB (lfb 3374x4MB) SWAP 0/7907MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,14%@1190,0%@1190,0%@1190,0%@1190] EMC_FREQ 0% GR3D_FREQ 98% AO@39.5C GPU@42C Tdiode@42.25C PMIC@100C AUX@39.5C CPU@41.5C thermal@40.85C Tboard@41C GPU 3257/1263 CPU 465/570 SOC 2172/2173 CV 0/0 VDDRQ 310/263 SYS5V 2250/2232
